tissue,health_state,set,network_name,network_code,pathway,count
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Sphingolipid metabolism,35
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Starch and sucrose metabolism,28
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Steroid biosynthesis,144
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Steroid hormone biosynthesis,82
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Streptomycin biosynthesis,5
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Styrene degradation,5
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Sulfur metabolism,5
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Synthesis and degradation of ketone bodies,7
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Taurine and hypotaurine metabolism,8
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Terpenoid backbone biosynthesis,22
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Thiamine metabolism,10
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Toluene degradation,95
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,"Tropane, piperidine and pyridine alkaloid biosynthesis",26
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Tryptophan metabolism,295
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Tyrosine metabolism,88
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Ubiquinone and other terpenoid-quinone biosynthesis,6
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,"Valine, leucine and isoleucine biosynthesis",3
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,"Valine, leucine and isoleucine degradation",323
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Various types of N-glycan biosynthesis,27
Breast,Cancer,nonMDS,Breast_Cancer_nonMDS,BCNM,Vitamin B6 metabolism,7
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Aflatoxin biosynthesis,1
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,"Alanine, aspartate and glutamate metabolism",12
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,alpha-Linolenic acid metabolism,14
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Aminobenzoate degradation,11
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Amino sugar and nucleotide sugar metabolism,27
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Arachidonic acid metabolism,28
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Arginine and proline metabolism,21
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Arginine biosynthesis,7
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Ascorbate and aldarate metabolism,3
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Benzoate degradation,10
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,beta-Alanine metabolism,24
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Betalain biosynthesis,11
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Biosynthesis of antibiotics,128
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Biosynthesis of secondary metabolites,217
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Biosynthesis of unsaturated fatty acids,21
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Biotin metabolism,2
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Brassinosteroid biosynthesis,1
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Butanoate metabolism,14
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,C5-Branched dibasic acid metabolism,1
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Caffeine metabolism,9
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Caprolactam degradation,6
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Carbon fixation in photosynthetic organisms,11
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Carbon fixation pathways in prokaryotes,25
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Chloroalkane and chloroalkene degradation,5
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Citrate cycle (TCA cycle),23
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,"Cutin, suberine and wax biosynthesis",1
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Cyanoamino acid metabolism,2
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Cysteine and methionine metabolism,15
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,D-Glutamine and D-glutamate metabolism,1
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Drug metabolism - cytochrome P450,32
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Drug metabolism - other enzymes,55
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Ether lipid metabolism,8
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Ethylbenzene degradation,5
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Fatty acid biosynthesis,25
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Fatty acid degradation,56
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Fatty acid elongation,19
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Flavone and flavonol biosynthesis,1
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Folate biosynthesis,21
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Fructose and mannose metabolism,21
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Galactose metabolism,29
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Geraniol degradation,9
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Glutathione metabolism,35
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Glycerolipid metabolism,18
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Glycerophospholipid metabolism,16
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,"Glycine, serine and threonine metabolism",20
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Glycolysis / Gluconeogenesis,53
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,6
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,3
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Glycosaminoglycan biosynthesis - keratan sulfate,2
Breast,Healthy,MDS,Breast_Healthy_MDS,BHM,Glycosaminoglycan degradation,13
